Id;Name;DosageForm;Strength;AtcCode
1;Paracetamol;Comprimé;500mg;N02BE01
2;Ibuprofene;Comprimé;400mg;M01AE01
3;Amoxicilline;Gélule;500mg;J01CA04
4;Aspirine;Comprimé;100mg;N02BA01
5;Omeprazole;Gélule;20mg;A02BC01
6;Metformine;Comprimé;850mg;A10BA02
7;Atorvastine;Comprimé;20mg;C10AA05
8;Losartan;Comprimé;50mg;C09CA01
9;Amlodipine;Comprimé;5mg;C08CA01
10;Levothyroxine;Comprimé;75mcg;H03AA01
11;Clopidogrel;Comprimé;75mg;B01AC04
12;Metoprolol;Comprimé;50mg;C07AB02
13;Simvastatine;Comprimé;40mg;C10AA01
14;Tramadol;Gélule;50mg;N02AX02
15;Salbutamol;Inhalateur;100mcg;R03AC02
16;Prednisolone;Comprimé;20mg;H02AB06
17;Ciprofloxacine;Comprimé;500mg;J01MA02
18;Azithromycine;Comprimé;250mg;J01FA10
19;Furosemide;Comprimé;40mg;C03CA01
20;Warfarine;Comprimé;5mg;B01AA03
21;Diazepam;Comprimé;10mg;N05BA01
22;Fluoxetine;Gélule;20mg;N06AB03
23;Sertraline;Comprimé;50mg;N06AB06
24;Insuline Glargine;Injectable;100UI/mL;A10AE04
25;Ramipril;Comprimé;5mg;C09AA05
26;Spironolactone;Comprimé;25mg;C03DA01
27;Digoxine;Comprimé;0.25mg;C01AA05
28;Codeïne;Comprimé;30mg;R05DA04
29;Morphine;Injectable;10mg/mL;N02AA01
30;Héparine;Injectable;5000UI/mL;B01AB01
